========================================================================
  PRESSCO21 품절/미진열 상품 리포트 (수정본)
  생성일: 2026-04-03
  판별 기준: options.basic[].sto_state_code = SOLDOUT/STOP
========================================================================

  ■ 진열중 전체 상품:  4,693개
  ■ 판매중 (SALE):     4,271개
  ■ 실제 품절:           422개  ← 이 리스트
    - 개인결제건:          1개 (무시)
    - 일반 상품:           421개 ← 확인 필요

========================================================================
  [품절 상품 — 대분류별]
  → 잘못 품절된 상품은 라이브 전환하세요!
========================================================================

▶ 기타 — 47개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      337263     17,000원  PF교회용액자/직사각형/소/사랑하는자여 [강사공간]
      347627     14,000원  보존화용직사각액자/500*120*60mm [강사공간]
      345679      5,000원  사각진주브로찌/신주 [MYPOOL 상품]
      345680      5,000원  사각진주브로찌/은색 [MYPOOL 상품]
      337257      4,550원  도자기/천사 [강사공간]
      337248      3,500원  도자기/나뭇잎새 [강사공간]
      340121      3,200원  소품액자 [강사공간]
      359113      3,000원  조개껍질모음/170g [드라이&프리저브드 플라]
      359112      3,000원  조개껍질모음/170g [드라이&프리저브드 플라]
      337270      3,000원  베이비슈즈용 케이스 [강사공간]
      359114      2,400원  조개껍질모음/170g [강사공간]
      337256      2,400원  도자기/원형접시 [강사공간]

▶ 압화 줄기 — 11개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11698343     13,000원  쥐똥나무꽃/노랑/물올림 [압화]
    11698341     13,000원  쥐똥나무꽃/보라/물올림 [압화]
    11698337     13,000원  쥐똥나무꽃/빨강/물올림 [압화]
      372228     13,000원  [압화]무꽃(한정수량) [압화]
      359492     13,000원  [압화]애기사과꽃 (한정수량) [압화]
    11699603      5,400원  맨드라미 [압화]
    11697023      4,500원  산복숭아풀줄기 [압화]
    11699682      4,000원  미나리아재비/10p [압화]
    11699496      4,000원  안개꽃/대/진분홍 [압화]
    11700808      3,500원  비단풀 [압화]
    11697416      3,000원  당송아/노랑 [압화]

▶ 생활소품 — 11개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
     1154109      9,000원  실리콘몰드/쟁반/직사각 2size [레진공예]
      280984      6,400원  조립스텐드/직접만들어보는 재미! (단종예정) [강사공간]
      375426      5,600원  유리컵/쥬스잔/6P [강사공간]
        4744      5,600원  스텐드형손거울 [강사공간]
      375425      4,800원  유리컵/위스키잔/6P [강사공간]
     1155922      4,500원  꽃손거울/색상선택 [강사공간]
      337814      3,600원  이젤액자 B형 (꽃은 불포함) [강사공간]
      337815      3,600원  이젤액자 C형 (꽃은 불포함) [강사공간]
     1150917      3,000원  팔각소주잔/2P [강사공간]
    11700208      1,800원  하바리움 LED 원목 무드등 [강사공간]
      341675        800원  상품권봉투/돈봉투/예단봉투 [강사공간]

▶ 부재료,마감재 — 10개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      196678     63,000원  풀한지/폭30/롤길이100m [강사공간]
      133431     43,000원  캔버스 60/백 [강사공간]
      360325     18,000원  클리너-C [강사공간]
      339405     12,000원  배경용 염색제 (한정수량) [강사공간]
        5883      4,000원  악세사리 비닐포장팩/50장 [강사공간]
        4292      3,200원  보조제 [강사공간]
     1152256      3,000원  붓/6P [강사공간]
      201642      2,400원  붓 2p [강사공간]
    11700562      1,350원  꽃풀 [강사공간]
      176539      1,200원  케이스235 [강사공간]

▶ 몰드 — 10개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      354072     14,250원  [레진공예]수제몰드/반구 [강사공간]
      353864     10,350원  [레진공예]미니몰드/돔&타원 [강사공간]
      355232      9,600원  [레진공예]몰드12종SET (구멍이 뚫린 모양) [강사공간]
     1154111      8,550원  실리콘몰드/쟁반/직사각 2size [강사공간]
      353705      8,100원  [레진공예]몰드/반지 [강사공간]
      355240        960원  [레진공예]몰드/열쇠 [강사공간]
      355242        960원  [레진공예]몰드/리본 [강사공간]
      355254        960원  [레진공예]몰드/고양이 [강사공간]
