prdNo,prdNm,sellerPrdCd,selStatCd,selStatNm,selPrc,cuponcheck,dscAmtPercnt,cupnDscMthdCd,cupnUseLmtDyYn,cupnIssEndDy,estimated_discounted_price
8236623715,프레스코21 레진 공예 UV컬러레진 마마레드 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236623867,프레스코21 압화 꽃송이 벚꽃 고급 일본산,,103,판매중,22000,Y,2000,01,Y,9999-12-31 23:59:59.0,20000
8236632889,프레스코21 압화 만들기 스마트연필꽂이 휴대폰 거치대,,103,판매중,3200,Y,700,01,Y,9999-12-31 23:59:59.0,2500
8236627764,프레스코21 LED 천스탠드 사각 압화 만들기,,103,판매중,19000,Y,3000,01,Y,9999-12-31 23:59:59.0,16000
8236624012,프레스코21 압화 고급 일본산 일본조팝줄기,,103,판매중,22000,Y,2000,01,Y,9999-12-31 23:59:59.0,20000
8236627788,드라이 프리저브드 플라워 말린꽃 시들지 않는 꽃 프레스코21 보존화 수국,,103,판매중,30000,Y,26500,01,Y,9999-12-31 23:59:59.0,3500
8236628746,프레스코21 압화 액자 진공마감 전용 진공 흡입기 미니,,103,판매중,100000,Y,37000,01,Y,9999-12-31 23:59:59.0,63000
8236629275,UV레진 레진아트 투명 레진공예 프레스코21 중점도 클리어 하드타입 10g,1277,103,판매중,6500,Y,5500,01,Y,9999-12-31 23:59:59.0,1000
8236629412,프레스코21 연필꽂이(기본재료) 연두,,103,판매중,800,N,,,N,,
8236628436,프레스코21 프리저브드 만들기세트 유리돔 소 장미,1028,103,판매중,9000,N,,,N,,
8236629285,프레스코21 연필꽂이(기본재료) 분홍,,103,판매중,800,N,,,N,,
8236628513,하바리움 원목 무드등 LED 코스터 원목 받침대,,103,판매중,5000,Y,3000,01,Y,9999-12-31 23:59:59.0,2000
8236629248,프레스코21 압화 만들기 레진 공예 악세서리 팔찌 시리즈 모음,1014,103,판매중,14000,Y,7000,01,Y,9999-12-31 23:59:59.0,7000
8236628882,프레스코21 즐거운 압화나라 / 압화서적 포켓북시리즈 체험편,,103,판매중,6000,N,,,N,,
8236629007,프레스코21 압화 공예재료 DIY 식물표본액자 전시대,1014,103,판매중,5000,Y,3000,01,Y,9999-12-31 23:59:59.0,2000
8236629072,프레스코21 북마크 금속책갈피 자개 오픈프레임 압화 선물 기념품 DIY 재료,1014,103,판매중,2500,Y,700,01,Y,9999-12-31 23:59:59.0,1800
8236629142,프레스코21 압화 만들기 레진 공예 악세서리 목걸이 시리즈 모음,1014,103,판매중,9500,Y,5000,01,Y,9999-12-31 23:59:59.0,4500
8236629171,프레스코21 연필꽂이(기본재료) 회색,,103,판매중,800,N,,,N,,
8236628795,프레스코21 압화 만들기 21액자 화이트 만들기세트,,103,판매중,15700,Y,300,01,Y,9999-12-31 23:59:59.0,15400
8236627988,프레스코21 압화 아크릴 손거울 만들기세트(일반배경지),,103,판매중,5500,Y,800,01,Y,9999-12-31 23:59:59.0,4700
8236630170,프레스코21 압화 만들기 꽃바구니 소품액자 흰색,,103,판매중,5000,Y,500,01,Y,9999-12-31 23:59:59.0,4500
8236630188,프레스코21 원목 접이식 액자 사각형 흰색 원목색 사진액자,1014,103,판매중,26000,Y,3000,01,Y,9999-12-31 23:59:59.0,23000
8236629975,프레스코21 압화 만들기 육각프레임골드액자 아크릴 금속 투명,1014,103,판매중,18000,Y,11000,01,Y,9999-12-31 23:59:59.0,7000
8236629902,프레스코21 엽서 무지 편지지 메세지카드 포스트 압화 만들기재료,1150,103,판매중,600,Y,200,01,Y,9999-12-31 23:59:59.0,400
8236629792,프레스코21 공예용 실리콘 매트,1283,103,판매중,4000,Y,1000,01,Y,9999-12-31 23:59:59.0,3000
8236629620,청첩장액자 압화 사진 아크릴 포토테이블 인생네컷 아기 발도장 부케 웨딩 액자 소형,,103,판매중,10000,Y,3700,01,Y,9999-12-31 23:59:59.0,6300
8236629683,프레스코21 투명 3:1 에폭시 레진 1kg 2액형 레진 공예 아트 재료,1277,103,판매중,56000,Y,10200,01,Y,9999-12-31 23:59:59.0,45800
8236627038,프레스코21 압화 만들기재료 종이사각함 배경지 필름지 포함 DIY,1014,103,판매중,3000,Y,500,01,Y,9999-12-31 23:59:59.0,2500
8236627044,하바리움 용액 재료 만들기 HERBARIUM 1L 국내제조 국내산,,103,판매중,10000,Y,2500,01,Y,9999-12-31 23:59:59.0,7500
8236631767,프레스코21 압화 만들기 절마크(만자) 액자만들기세트,1014,103,판매중,5500,Y,200,01,Y,9999-12-31 23:59:59.0,5300
